,,, Amount ,,,,,,Date,,,,
Company,Company,Description, Seed , A , B , C , Later ,,Seed,A,B,C,Later
Lover.ly,http://www.crunchbase.com/company/lover-ly,"Lover.ly is a visual search engine and cloud scrapbook. We help brides and their friends search, save, and share wedding inspiration from the best sites online."," $500,000 ",,,,,,2/12,,,,
online business software,http://www.crunchbase.com/company/online-business-software,,,,,,,,,,,,
.vantronix,http://www.crunchbase.com/company/vantronix,,,,,,,,,,,,
10gen,http://www.crunchbase.com/company/10gen,,,,,,,,,,,,
1800DataCenter.com,http://www.crunchbase.com/company/1800datacenter-com,,,,,,,,,,,,
1Pointe,http://www.crunchbase.com/company/1pointe,,,,,,,,,,,,
2020Tek,http://www.crunchbase.com/company/2020tek,,,,,,,,,,,,
21Brains,http://www.crunchbase.com/company/21brains,,,,,,,,,,,,
256ideas,http://www.crunchbase.com/company/256ideas,,,,,,,,,,,,
28msec,http://www.crunchbase.com/company/28msec,,,,,,,,,,,,
300milligrams,http://www.crunchbase.com/company/300milligrams,,,,,,,,,,,,
30loops,http://www.crunchbase.com/company/30loops,,,,,,,,,,,,
360 Vantage,http://www.crunchbase.com/company/360-vantage,,,,,,,,,,,,
3PAR,http://www.crunchbase.com/company/3par,,,,,,,,,,,,
3Tera,http://www.crunchbase.com/company/3tera,,,,,,,,,,,,
46elks,http://www.crunchbase.com/company/46elks,,,,,,,,,,,,
4AM Technologies,http://www.crunchbase.com/company/4am-technologies,,,,,,,,,,,,
4Home,http://www.crunchbase.com/company/4home,,,,,,,,,,,,
4sync (beta),http://www.crunchbase.com/company/4sync,,,,,,,,,,,,
5 Five,http://www.crunchbase.com/company/5-five,,,,,,,,,,,,
619Cloud,http://www.crunchbase.com/company/619cloud,,,,,,,,,,,,
6Wunderkinder,http://www.crunchbase.com/company/6wunderkinder,,,,,,,,,,,,
76,http://www.crunchbase.com/company/76,,,,,,,,,,,,
7L Networks,http://www.crunchbase.com/company/7l-networks,,,,,,,,,,,,
A10 Networks,http://www.crunchbase.com/company/a10-networks,,,,,,,,,,,,
A2Zapps.com,http://www.crunchbase.com/company/a2zapps-com,,,,,,,,,,,,
AES.io,http://www.crunchbase.com/company/aes-io,,,,,,,,,,,,
AIS Network,http://www.crunchbase.com/company/ais-network,,,,,,,,,,,,
AMAEYA,http://www.crunchbase.com/company/cognito,,,,,,,,,,,,
APIphany,http://www.crunchbase.com/company/apiphany,,,,,,,,,,,,
APSU,http://www.crunchbase.com/company/apsu,,,,,,,,,,,,
ASUS WebStorage,http://www.crunchbase.com/company/asus-webstorage,,,,,,,,,,,,
AUSWEB Web Hosting,http://www.crunchbase.com/company/ausweb-web-hosting,,,,,,,,,,,,
AWIC,http://www.crunchbase.com/company/awic,,,,,,,,,,,,
Abiquo,http://www.crunchbase.com/company/abiquo,,,,,,,,,,,,
Academize,http://www.crunchbase.com/company/academize,,,,,,,,,,,,
Accedeo,http://www.crunchbase.com/company/accedeo,,,,,,,,,,,,
Accedeo IT & BPO,http://www.crunchbase.com/company/accedeo-it-bpo,,,,,,,,,,,,
AccelOps,http://www.crunchbase.com/company/accelops,,,,,,,,,,,,
Access Northeast,http://www.crunchbase.com/company/access-northeast,,,,,,,,,,,,
Action Products International,http://www.crunchbase.com/company/action-products-international,,,,,,,,,,,,
Aculab Cloud,http://www.crunchbase.com/company/aculab-cloud,,,,,,,,,,,,
Acumatica,http://www.crunchbase.com/company/acumatica,,,,,,,,,,,,
AdFreeq,http://www.crunchbase.com/company/adfreeq,,,,,,,,,,,,
Addastaff Consulting Incorporated,http://www.crunchbase.com/company/addastaff-consulting-incorporated,,,,,,,,,,,,
AdeoPoint,http://www.crunchbase.com/company/adeopoint,,,,,,,,,,,,
Adiant,http://www.crunchbase.com/company/adiant,,,,,,,,,,,,
Advebs ,http://www.crunchbase.com/company/advebs,,,,,,,,,,,,
AeroFS,http://www.crunchbase.com/company/aerofs,,,,,,,,,,,,
Aframe,http://www.crunchbase.com/company/aframe,,,,,,,,,,,,
AgileSense,http://www.crunchbase.com/company/agilesense,,,,,,,,,,,,
Agility,http://www.crunchbase.com/company/agility,,,,,,,,,,,,
Agily Networks,http://www.crunchbase.com/company/agily-networks,,,,,,,,,,,,
Agosto,http://www.crunchbase.com/company/agosto,,,,,,,,,,,,
AirSet,http://www.crunchbase.com/company/airset,,,,,,,,,,,,
AirVM,http://www.crunchbase.com/company/airvm,,,,,,,,,,,,
Airnet Group,http://www.crunchbase.com/company/airnet-group,,,,,,,,,,,,
Ajax,http://www.crunchbase.com/company/ajax,,,,,,,,,,,,
Ajaxo,http://www.crunchbase.com/company/ajaxo,,,,,,,,,,,,
Akshell,http://www.crunchbase.com/company/akshell,,,,,,,,,,,,
Aladtec,http://www.crunchbase.com/company/aladtec,,,,,,,,,,,,
Alcala Consulting,http://www.crunchbase.com/company/alcala-consulting,,,,,,,,,,,,
Alert Logic,http://www.crunchbase.com/company/alert-logic,,,,,,,,,,,,
Alertia,http://www.crunchbase.com/company/alertia,,,,,,,,,,,,
