Name,URL,Description,Seed,A,B,C,Seed,A,B,C
24/7 Office Hours,http://www.crunchbase.com/company/24-7-office-hours,"<p>24/7 Office Hours is a premiere editing service for students, professionals, and companies. 24/7 Office Hours provides proofreading for grammatical mistakes, editing for clarity and style, and offering suggestions on how best to improve written products. It is able to accommodate any writing assignment or document that requires a careful review. In addition to direct editing, 24/7 Office Hours also shares tips that can help all customers improve their writing skills.</p>

<p>24/7 Office Hours prides itself on its reliability, efficiency, and comprehensiveness. Its editors have graduated from top U.S. universities with degrees spanning philosophy and religion to business and law. It recognizes that editing needs may arise at any time, accordingly its services are available 24-hours a day, and it offers quick turnaround times as short as 24-hours.</p>

<p>A quality written product can make the difference in grades, admissions decisions, sales, and job appraisals. In these times, any competitive edge is important. 24/7 Office Hours is here to help.Stay tuned for other related services that 24/7 Office Hours will be adding to its site, including a section dedicated to faculty.</p>",,,,,//,//,//,//
420 College,http://www.crunchbase.com/company/420-college,"<p>It’s great news to know that, you can get a marijuana recommendation from a doctor and use medical marijuana in California to relieve your medical condition.  Just join us if you need any help. A large number of planning that goes into holding our marijuana industry related seminars. Everyone is going to get a complete consultation using the best medical marijuana defense attorney in California.  Not to mention the top business consultants who have assisted in complete set up and operation of marijuana dispensaries in California.  This truly can be a great deal for anyone who does not have the slightest clue in where to start.
Marijuana school will inform potential business owners on which places to go and what forms to complete.  As well as get answers to your burning questions, straight from the source.  When you really need the knowledge, we in California are legal in our medical services.  Marijuana is still illegal under federal law, check all local state laws for clarification on what laws apply to who.
You are able to build your required career in medical cannabis where you live so long as and any report has no effect on eligibility to obtain a doctor&#8217;s recommendation and become a medical marijuana patient, therefore, you might develop and deliver medicine towards the patients inside the membership based collective.</p>",,,,,//,//,//,//
Abella Books,http://www.crunchbase.com/company/abellabooks-com-abella-books,"<p>AbellaBooks.com is the place to buy and sell new and used cheap discount textbooks, DVDs, CDs, general reading, and reference titles.</p>

<p>AbellaBooks.com</p>

<p>Abella Books, is among the nationâ€™s oldest, and largest buyers and sellers of New, Used, reconditioned, pre-owned K-12 and college student textbooks. As a result, purchasing your pre-owned textbooks has never been easier. We have nearly doubled the size of our textbook inventory to provide you with unparalleled access to the highest quality pre-owned textbooks at cheap discount prices.</p>",,,,,//,//,//,//
Academhy,http://www.crunchbase.com/company/academhy,"<p>Academhy is a marketing solution provider for all types of education industries, schools, colleges and universities. Our database is very useful for those companies or professionals who are looking forward to target educational sector for business development purpose.</p>",,,,,//,//,//,//
Advice Ready,http://www.crunchbase.com/company/advice-ready,"<p>AdviceReady is a company where you can get advice live or by email for almost anything including career, money, relationship, education and IT. In AdviceReady, you can get expert opinion, courses or forums that could help you in achieving your goal. </p>

<p>AdviceReady allows you to outsource your task to experts and receive competitive bids, some are even free. All the offerings are flexible: you can ask, outsource or learn small or big &#8212; anytime anywhere live or offline.</p>

<p>AdviceReady is a place to learn from courses or get advice from other members of the network.</p>

<p>If you are an expert, help others and get paid.</p>",,,,,//,//,//,//
AffordTextbooks.com,http://www.crunchbase.com/company/affordtextbooks-com,"<p>AffordTextbooks.com is a free price comparison textbook search engine that finds the best prices on textbooks.</p>

<p>The features provided makes textbook shopping: easy, fast and cheap. Students afford textbooks because AffordTextbooks.com finds the cheapest used, new, rental, international edition, or ebook, also shows the highest cash paying buyback companies. </p>",,,,,//,//,//,//
After Classroom,http://www.crunchbase.com/company/after-classroom,<p>After Classroom provides new way for worldwide students from Grade 6 to College/University levels to learn something new every time from socializing rather than waste their time on it. </p>,,,,,//,//,//,//
AgileCrew,http://www.crunchbase.com/company/agilecrew,"<p>AgileCrew is a collaboration tool for Colleges and Schools to make learning easier and more interesting. AgileCrew brings together students, academics and management in a single location, where they can share documents, course content, role-based resource management and a lot more. </p>",,,,,//,//,//,//
Akampus,http://www.crunchbase.com/company/akampus,"<p>Akampus is a Turkish social network, a la <a href=""http://www.crunchbase.com/company/facebook"" title=""Facebook"">Facebook</a>, for college students and graduates.  The site has some special features and content like online lecture notes and professor/course ratings.</p>

<p>The young Turkish founding entrepreneurs, Ä°brahim ÃœÄžDÃœL and Evren GÃœNEY targeted BoÄŸaziÃ§i University in Ä°stanbul as a starting community in 2000. Now the community targets all Turkish university students, graduates and Turkish speaking students in universities abroad. </p>",,,,,//,//,//,//
Allied American University,http://www.crunchbase.com/company/allied-american-university,"<p>Allied American University is a division of Allied Business Schools, Inc., a family-owned and operated educational organization. AAU is dedicated to providing education required for today&#8217;s in-demand careers, allowing our graduates to succeed in the current competitive job market! AAU was accredited by the Accrediting Commission of the Distance Education and Training Council in June of 2008.</p>

<p>AAU offers Associate degree and Bachelor&#8217;s Degree programs in Business Administration, Computer Information Systems, Criminal Justice and General Studies. The University delivers student-centered academic programs in an online distance learning environment that allows students to pursue their degree from the comfort of their home, workplace or wherever they choose to study.</p>",,,,,//,//,//,//
